Aircraft TypeDesignator,Class,Number+Engine Type/FAA Weight Class,"MANUFACTURER, Model"
SNS7,Fixed-wing,1P/S,"SORRELL, SNS-7 Hiperbipe"
SNS9,Fixed-wing,1P/S,"SORRELL, SNS-9 EXP-2"
SNTA,Fixed-wing,1P/S,"AIRSPORT, Sonata"
SOK2,Fixed-wing,1P/S,"SOKO, 2"
SOKL,Fixed-wing,1P/S,"MRAZ, M-1 Sokol"
SOL1,Fixed-wing,4E/S,"SOLAR IMPULSE, 1"
SOL2,Fixed-wing,4E/S,"SOLAR IMPULSE, 2"
SOLI,Fixed-wing,1P/S,"RUTAN, 77 Solitaire"
SONX,Fixed-wing,1P/S,"SONEX, Sonex"
SORA,Fixed-wing,1P/S,"ACS, ACS-100 Sora"
SP20,Fixed-wing,1P/S,"MICCO, SP-20"
SP33,Fixed-wing,2J/S,"SPECTRUM, S-33 Independence"
SP55,Fixed-wing,1P/S,"TECHNOAVIA, SP-55"
SP6E,Fixed-wing,1P/S,"SAUSER, P-6E Replica"
SP7,Fixed-wing,1P/S,"SPARTAN, 7 Executive"
SP91,Fixed-wing,1P/S,"TECHNOAVIA, SP-91 Slava"
SP95,Fixed-wing,1P/S,"TECHNOAVIA, SP-95"
SPA2,Fixed-wing,1P/S,"STARK-TREFETHEN, Sport-Aire 2"
SPAR,Fixed-wing,1P/S,"III, Speed Arrow"
SPC2,Fixed-wing,1P/S,"SPECTER, Specter 2"
SPDR,Fixed-wing,1P/S,"REARWIN, 6000 Speedster"
SPEL,Fixed-wing,1P/S,"LOEHLE, Spitfire Elite"
SPGY,Gyrocopter,1P/S,"AIRCRAFT DESIGNS, Sportster Gyro"
SPHA,Gyrocopter,1P/S,"AMERICAN AUTOGYRO, SparrowHawk"
SPIR,Fixed-wing,1P/S,"QUESTAIR, Spirit"
SPIT,Fixed-wing,1P/S,"SUPERMARINE, Spitfire"
SPOR,Fixed-wing,1P/S,"AMAX, Sport 1700"
SPR2,Fixed-wing,1P/S,"CARLSON, Sparrow-ette"
SPRT,Fixed-wing,1P/S,"PRACTAVIA, Sprite"
SPST,Fixed-wing,1P/S,"REARWIN, Sportster"
SPUP,Fixed-wing,1P/S,"SOPWITH, Pup"
SQ2T,Fixed-wing,1P/S,"KLS COMPOSITES, SQ-2000"
SQES,Fixed-wing,2P/S,"SLIPSTREAM, SkyQuest"
SR01,Fixed-wing,1P/S,"EURODISPLAY, SR-01 Magic"
SR20,Fixed-wing,1P/S,"CIRRUS, SR-20"
SR22,Fixed-wing,1P/S,"CIRRUS, SR-22"
SR71,Fixed-wing,2J/L,"LOCKHEED, SR-71 Blackbird"
SRAC,Fixed-wing,1P/S,"SPORT RACER, Sport Racer"
SRAI,Fixed-wing,1P/S,"GREAT LAKES, Sonerai"
SRAS,Fixed-wing,1P/S,"D'APUZZO, D-260 Senior Aero Sport"
SRAY,@Fixed-wing,1P/S,"DORNIER, Do-S S-Ray"
SREY,@Fixed-wing,1P/S,"PROGRESSIVE AERODYNE, SeaRey"
SS2,Fixed-wing,1R/S,"SCALED, 339 Space Ship Two"
SS2P,Fixed-wing,1P/S,"AYRES, S-2R-600 Thrush"
SS2T,Fixed-wing,1T/S,"AYRES, S-2R-G Turbo Thrush"
SSAB,Fixed-wing,1J/S+,"NORTH AMERICAN, F-100 Super Sabre"
SSC,Gyrocopter,1P/S,"BUTTERFLY, Super Sky Cycle"
SSTM,@Fixed-wing,1P/S,"SG AVIATION, Sea Storm"
ST1,Fixed-wing,2P/S,"PHILLIPS, ST-1 Speedtwin"
ST10,Fixed-wing,1P/S,"SOCATA, ST-10 Diplomate"
ST30,Fixed-wing,1P/S,"PANZL, S-330"
ST60,Fixed-wing,1P/S,STAUDACHER S-600
ST75,Fixed-wing,1P/S,"STEARMAN, 75 Kaydet"
ST87,Fixed-wing,1P/S,"STERN, ST-87 Europlane"
STAL,Fixed-wing,1P/S,"AIRCRAFT DESIGNS, Stallion"
STAR,Fixed-wing,2T/S+,"BEECH, 2000 Starship"
STAT,Fixed-wing,1T/S,"AIRCRAFT DESIGNS, Turbine Stallion"
STCH,Fixed-wing,1P/S,"FLY SYNTHESIS, Storch"
STFF,Fixed-wing,1P/S,"STATLER, Firefly"
STIL,Fixed-wing,1P/S,"TERZI, T-9 Stiletto"
STLN,Fixed-wing,1T/S,"HELIO, HST-550 Stallion"
STOR,Fixed-wing,1P/S,"STORCH AVIATION, SS-4 Storch"
STR2,Fixed-wing,1P/S,"STROJNIK, S-2"
STRA,Fixed-wing,1P/S,"STRIPLIN, Sky Ranger"
STRE,Fixed-wing,1P/S,"TL ULTRALIGHT, Stream"
STRI,Fixed-wing,1P/S,"SOPWITH, Triplane Replica"
STRK,Fixed-wing,1J/S+,"BAC, 167 Strikemaster"
STRM,Fixed-wing,1P/S,"SG AVIATION, Storm"
STST,Fixed-wing,1P/S,"CFM, SA-2 Star Streak"
SU15,Fixed-wing,2J/S+,"SUKHOI, Su-15"
SU17,Fixed-wing,1J/L,"SUKHOI, Su-17"
SU24,Fixed-wing,2J/L,"SUKHOI, Su-24"
SU25,Fixed-wing,2J/L,"SUKHOI, Su-25 Scorpion"
SU26,Fixed-wing,1P/S,"SUKHOI, Su-26"
SU27,Fixed-wing,2J/L,"SUKHOI, Su-27"
SU29,Fixed-wing,1P/S,"SUKHOI, Su-29"
SU31,Fixed-wing,1P/S,"SUKHOI, Su-31"
SU38,Fixed-wing,1P/S,"SUKHOI, Su-38"
SU7,Fixed-wing,1J/S+,"SUKHOI, Su-7"
SU80,Fixed-wing,2T/S+,"SUKHOI, Su-80"
SU95,Fixed-wing,2J/L,"SUKHOI, Superjet 100-95"
SUBA,Fixed-wing,1P/S,"FUJI, FA-200 Aero Subaru"
SUCO,Helicopter,2T/S+,"BELL, AH-1W SuperCobra"
SUNB,Fixed-wing,1P/S,"VERILITE, 100 Sunbird"
SUNV,Fixed-wing,1P/S,"FOKKER, Super Universal"
SURN,Helicopter,2T/S+,"KOREA AEROSPACE, Surion"
SURU,Fixed-wing,1P/S,"IPT, IPT-16 Surubim"
SUSO,Fixed-wing,1P/S,"VSTOL, SS-2000 Super Solution"
SV4,Fixed-wing,1P/S,"AIAA, SV-4"
SVNH,Fixed-wing,1P/S,"AEROTEC (2), MXP-740 Savannah"
SW18,Fixed-wing,1P/S,"SKYWOOD, SW-18 Teddy"
SW2,Fixed-wing,2T/S,"SWEARINGEN, SA-26 Merlin 2"
SW3,Fixed-wing,2T/S+,"SWEARINGEN, Merlin 3"
SW4,Fixed-wing,2T/S+,"SWEARINGEN, Merlin 4"
SWAK,Fixed-wing,1P/S,"ANGLIN, Space Walker 1"
SWAT,Fixed-wing,1P/S,"BHARAT, LT-1 Swati"
SWIF,Fixed-wing,1J/S+,"SUPERMARINE, Swift"
SWIN,Fixed-wing,1P/S,"S-WING, S-Wing"
SWOR,Fixed-wing,1P/S,"BLACKBURN, Swordfish"
SX30,Fixed-wing,1P/S,"SWEARINGEN, SX-300"
SYCA,Helicopter,1P/S,"BRISTOL, 171 Sycamore"
SYMP,Fixed-wing,1P/S,"SYMPHONY, SA-160 Symphony"
SYNC,Fixed-wing,1P/S,"FLY SYNTHESIS, Syncro"
SZ45,Fixed-wing,1P/S,"SZD, SZD-45 Ogar"
SZ9M,Fixed-wing,1P/S,"YALO, SZD-9bis Bocian M-2000"
T1,Fixed-wing,1J/S,"FUJI, T-1"
T10,Fixed-wing,1P/S,"TMM-AVIA, T-10 Avia-Tor"
T101,Fixed-wing,1T/S,"AEROPROGRESS, T-101 Grach"
T134,Fixed-wing,2J/L,"TUPOLEV, Tu-134"
T144,Fixed-wing,4J/H,"TUPOLEV, Tu-144"
T154,Fixed-wing,3J/L,"TUPOLEV, Tu-154"
T160,Fixed-wing,4J/H,"TUPOLEV, Tu-160"
T18,Fixed-wing,1P/S,"THORP, T-18 Tiger"
T19,Fixed-wing,1P/S,"THK, T-19 Speedfire"
T2,Fixed-wing,2J/S+,"NORTH AMERICAN, T-2 Buckeye"
T204,Fixed-wing,2J/L,"TUPOLEV, Tu-204"
T206,Fixed-wing,1P/S,"CESSNA, T206 Turbo Stationair"
T210,Fixed-wing,1P/S,"CESSNA, T210 Turbo Centurion"
T211,Fixed-wing,1P/S,"INDUS, T-211 Sport E"
T22M,Fixed-wing,2J/L,"TUPOLEV, Tu-22M"
T250,Fixed-wing,1P/S,"ANDERSON-GREENWOOD, T-250 Aries"
T28,Fixed-wing,1P/S,"NORTH AMERICAN, T-28 Trojan"
T30,Fixed-wing,1P/S,"TERZI, T-30 Katana"
T33,Fixed-wing,1J/L,"LOCKHEED, T-33 Shooting Star"
T334,Fixed-wing,2J/L,"TUPOLEV, Tu-334"
T34P,Fixed-wing,1P/S,"BEECH, T-34A Mentor"
T34T,Fixed-wing,1T/S,"BEECH, T-34C Turbo Mentor"
T35,Fixed-wing,1P/S,"TEMCO, T-35 Buckaroo"
T37,Fixed-wing,2J/S,"CESSNA, T-37"
T38,Fixed-wing,2J/S,"NORTHROP, T-38 Talon"
T4,Fixed-wing,2J/S+,"KAWASAKI, T-4"
T40,Fixed-wing,1P/S,"TURNER, T-40"
T411,Fixed-wing,1P/S,"KHRUNICHEV, T-411 Aist"
T415,Fixed-wing,1P/S,"KHRUNICHEV, T-415 Snegir"
T419,Fixed-wing,1P/S,"KHRUNICHEV, AT-419 Strekoza"
T5,Fixed-wing,1T/S,"FUJI, T-5"
T50,Fixed-wing,2P/S,"CESSNA, T-50 Bobcat"
T50S,Fixed-wing,2J/L,"SUKHOI, T-50"
T51,Fixed-wing,1P/S,"TITAN, T-51 Mustang"
T6,Fixed-wing,1P/S,"NORTH AMERICAN, AT-6 Texan"
T7,Fixed-wing,1T/S,"FUJI, T-7"
TA15,Fixed-wing,1P/S,"TAYLORCRAFT (1), 15 Tourist"
TA16,@Fixed-wing,1P/S,"THURSTON, TA-16 Seafire"
TA20,Fixed-wing,1P/S,"TAYLORCRAFT (1), 20 Seabird"
TAA1,Fixed-wing,1P/S,"SCALED, TAA-1"
TAGO,Fixed-wing,1P/S,"TEAM TANGO, Tango-2"
TAIL,Fixed-wing,1P/S,"AIRCRAFT SPRUCE, W-10 Tailwind"
TAMP,Fixed-wing,1P/S,"SOCATA , TB-9 Tampico"
TARO,Fixed-wing,1P/S,"ANAHUAC, Tauro"
TARR,Fixed-wing,1P/S,"PELEGRIN, Tarragon"
TAYA,Fixed-wing,1P/S,"TAYLOR-YOUNG, A"
TAYB,Fixed-wing,1P/S,"TAYLOR-YOUNG, BC"
TAYD,Fixed-wing,1P/S,"TAYLORCRAFT (1), DC"
TB05,Fixed-wing,1P/S,"AMC, Texas Bullet 205"
TB20,Fixed-wing,1P/S,"SOCATA, TB-20 Trinidad"
TB21,Fixed-wing,1P/S,"SOCATA, TB-21 Trinidad TC"
TB30,Fixed-wing,1P/S,"AEROSPATIALE, TB-30 Epsilon"
TB31,Fixed-wing,1T/S,"SOCATA, TB-31 Omega"
TBEE,@Fixed-wing,2P/S,"UNITED CONSULTANT, UC-1 Twin Bee"
TBM,Fixed-wing,1P/S+,"GRUMMAN, G-40 Avenger"
TBM7,Fixed-wing,1T/S,"SOCATA, TBM-700"
TBM8,Fixed-wing,1T/S,"SOCATA, TBM-850"
TBM9,Fixed-wing,1T/S,"SOCATA, TBM-900"
TBR3,Fixed-wing,1P/S,"GOLDEN CIRCLE, T-Bird 2 Cargo"
TC2,Fixed-wing,1P/S,"AERO MIRAGE, TC-2"
TCAT,Fixed-wing,2P/S+,"GRUMMAN, F7F Tigercat"
TCOU,Fixed-wing,2P/S,"HELIO, H-500 Twin Courier"
TD1,Fixed-wing,1P/S,"TAIWAN DANCER, TD-1"
TD2,Fixed-wing,1T/S,"TURBINE DESIGN, TD-2 Tempest"
TD3,Fixed-wing,1P/S,"TAIWAN DANCER, TD-3 Alluvion Legend"
TEAL,@Fixed-wing,1P/S,"SCHWEIZER, TSC-1 Teal"
TERM,Fixed-wing,1P/S,"SMITH (2), Termite"
TERR,Fixed-wing,1P/S,"FOXCON, Terrier"
TEX2,Fixed-wing,1T/S,"BEECHCRAFT, AT-6 Texan 2"
TEXA,Fixed-wing,1P/S,"FLY SYNTHESIS, Texan"
TF19,Fixed-wing,1P/S,"TAYLORCRAFT (1), F-19 Sportsman"
TF21,Fixed-wing,1P/S,"TAYLORCRAFT (1), F-21"
TF22,Fixed-wing,1P/S,"TAYLORCRAFT (1), F-22 Classic"
TFK2,Fixed-wing,1P/S,"TECHNOFLUG, TFK-2 Carat"
TFOC,Fixed-wing,1P/S,"THUNDER WINGS, Focke-Wulf Fw-190"
TFUN,Fixed-wing,1P/S,"VALENTIN, Taifun"
TGRS,Fixed-wing,1P/S,"LANCAIR, Tigress"
TIGR,Helicopter,2T/S+,"EUROCOPTER, EC-665 Tigre"
TIJU,Fixed-wing,1P/S,"AVIONS FAIREY, Tipsy Junior"
TIPB,Fixed-wing,1P/S,"AVIONS FAIREY, Tipsy B"
TJET,Fixed-wing,2J/S,"MAVERICK, TJ-1500 TwinJet"
TL20,Fixed-wing,1P/S,"TL ULTRALIGHT, TL-2000 Sting"
TL30,Fixed-wing,1P/S,"TL ULTRALIGHT, TL-3000 Sirius"
TLEG,Fixed-wing,1T/S,"PERFORMANCE, Turbine Legend"
TM5,Fixed-wing,1P/S,"TM AIRCRAFT, TM-5"
TMOT,Fixed-wing,1P/S,"FISHER, R-80 Tiger Moth"
TMUS,Fixed-wing,1P/S,"PAPA 51, Thunder Mustang"
TNAV,Fixed-wing,2P/S,"TEMCO, D-16 Twin Navion"
TNDR,Fixed-wing,1P/S,"DREAM, Tundra"
TOBA,Fixed-wing,1P/S,"SOCATA, TB-10 Tobago"
TOOT,Fixed-wing,1P/S,"MEYER, Little Toot"
TOR,Fixed-wing,2J/L,"PANAVIA, Tornado"
TOUR,Fixed-wing,1P/S,"VICTA, Airtourer"
TOXO,Fixed-wing,1P/S,"CAG, Toxo"
TP40,Fixed-wing,1P/S,"THUNDER WINGS, Curtiss P-40"
TPIL,Fixed-wing,1T/S,ENAER T-35DT Turbo PillÃÂ¡n
TPIN,Fixed-wing,2P/S+,"SCOTTISH AVIATION, Twin Pioneer"
TR1,@Fixed-wing,1P/S,"TRIDENT, TR-1 Trigull"
TR20,Fixed-wing,1P/S,"FEUGRAY, TR-200"
TR26,Fixed-wing,1P/S,"FEUGRAY, TR-260 Sirius"
TR55,Fixed-wing,1P/S,"3XTRIM, 3X-55 Trener"
TRAL,Fixed-wing,1P/S,"GROPPO, Trial"
TRAP,Fixed-wing,1P/S,"CAPELLA, T-Raptor"
TRBA,Fixed-wing,1P/S,"PODESVA, Trener Baby"
TRDO,Fixed-wing,1P/S,"TITAN, Tornado SS"
TRF1,Fixed-wing,1P/S,"TEAM ROCKET, F-1"
TRIM,Fixed-wing,3P/S+,"FORD, 4-AT Tri-Motor"
TRIS,Fixed-wing,3P/S,"BRITTEN-NORMAN, BN-2A Mk3 Trislander"
TRMA,Fixed-wing,3P/S,"STINSON, A Tri-Motor"
TRWN,Fixed-wing,2P/S,"PACIFIC AIRMOTIVE, Tradewind"
TS11,Fixed-wing,1J/S,"PZL-MIELEC, TS-11 Iskra"
TS14,Fixed-wing,1P/S,"TEST, TST-14 Bonus"
TS1J,Fixed-wing,1J/S,"JONKER, JS-1TJ Revelation"
TS8,Fixed-wing,1P/S,"PZL-MIELEC, TS-8 Bies"
TSPT,Fixed-wing,1P/S,"THUNDER WINGS, Supermarine Spitfire"
TSTN,Fixed-wing,1P/S,"TERRAFUGIA, Transition"
TSTR,Gyrocopter,1P/S,"FARRINGTON, Twinstar"
TT62,Fixed-wing,2P/S,"HPA (1), TT-62 Alekto"
TTRS,Fixed-wing,1P/S,"HUMBERT, Tetras"
TTWO,Fixed-wing,1P/S,"PARKER, Teenie Two"
TU16,Fixed-wing,2J/L,"TUPOLEV, Tu-16"
TU22,Fixed-wing,2J/L,"TUPOLEV, Tu-22"
TU4,Fixed-wing,4T/L,"TUPOLEV, Tu-4"
TU95,Fixed-wing,4T/H,"TUPOLEV, Tu-95"
TUCA,Fixed-wing,1T/S,"EMBRAER, EMB-312 Tucano"
TUL3,Fixed-wing,1P/S,"PODESVA, TUL-03 Amigo"
TUTR,Fixed-wing,1P/S,"AVRO, 621 Tutor"
TVL4,Fixed-wing,1P/S,"TRAVEL AIR, 4000"
TVLB,Fixed-wing,1P/S,"TRAVEL AIR, 2000"
TWEN,Fixed-wing,1P/S,"TECNAM, P-2010 Twenty-Ten"
TWIR,Fixed-wing,2P/S,"DYN'AERO, Twin-R"
TWSP,Fixed-wing,1P/S,"TIME WARP, Spitfire"
TWST,Fixed-wing,1P/S,"SILENCE, Twister"
TZRV,Fixed-wing,1J/S,"IRIAF, JT-2-2 Tazarve"
U15,Fixed-wing,1P/S,"PHOENIX AIR, U-15 Phoenix"
U16,@Fixed-wing,2P/S+,"GRUMMAN, HU-16 Albatross"
U2,Fixed-wing,1J/S+,"LOCKHEED, U-2"
U21,Fixed-wing,2T/S,"BEECH, U-21A Ute"
U22,Fixed-wing,1P/S,"BEECH, QU-22"
UAV,Fixed-wing,,"(any manufacturer), Un-manned aerial vehicle"
UBAT,Fixed-wing,1P/S,"AUSTRALITE, Ultrabat"
UF10,Fixed-wing,1P/S,"DISTAR, UFM-10 Samba"
UF13,Fixed-wing,1P/S,"DISTAR, UFM-13 Lambada"
UFHT,Gyrocopter,1P/S,"UFO, HeliThruster"
UH1,Helicopter,1T/S,"BELL, UH-1A Iroquois"
UH12,Helicopter,1P/S,"HILLER, UH-12B"
UH1Y,Helicopter,2T/S+,"BELL, UH-1Y"
UHEL,,,"(any manufacturer), Microlight helicopter / (any manufacturer), Ultralight helicopter"
UL10,Fixed-wing,1P/S,"STREAMLINE WELDING, 10 Ultimate Winner"
UL20,Fixed-wing,1P/S,"STREAMLINE WELDING, 20 Ultimate CompanioN"
UL2F,Fixed-wing,1P/S,"AEROS, UL-2000 Flamingo"
UL45,Fixed-wing,1P/S,"3XTRIM, 450 Ultra"
ULAC,,,"(any manufacturer), Microlight aircraft / (any manufacturer), Ultralight aircraft"
ULPA,Fixed-wing,1P/S,"ULLMANN, Panther"
ULTS,Helicopter,1P/S,"AMERICAN SPORTSCOPTER, Ultrasport 496"
UM18,Gyrocopter,1P/S,"FAIRCHILD (1), F-18 Flymobil"
UNIV,Fixed-wing,1P/S,"NEIVA, N-621 Universal"
URRA,Fixed-wing,1P/S,"IBIS (2), Urraco"
UOSUAV,Fixed-wing,1P/S,University of Southampton Ultra
US1,@Fixed-wing,4T/L,"SHINMAYWA, US-1"
US2,@Fixed-wing,4T/L,"SHINMAYWA, US-2"
UT60,Fixed-wing,1P/S,"UTVA, 60"
UT65,Fixed-wing,1P/S,"UTVA, 65 Privrednik"
UT66,Fixed-wing,1P/S,"UTVA, 66"
UT75,Fixed-wing,1P/S,"UTVA, 75"
UU12,Fixed-wing,1P/S,"UDET, U-12 Flamingo Replica"
V1,Fixed-wing,2T/S+,"GRUMMAN, OV-1 Mohawk"
V10,Fixed-wing,2T/S+,"NORTH AMERICAN, OV-10 Bronco"
V22,Tiltrotor,2T/L,"BELL-BOEING, V-22 Osprey"
V252,Fixed-wing,1P/S,"MSW, Votec 252"
V322,Fixed-wing,1P/S,"MSW, Votec 322"
V351,Fixed-wing,1P/S,"MSW, Votec 351"
V452,Fixed-wing,1T/S,"MSW, Votec 452"
V500,Helicopter,1P/S,"REVOLUTION, Voyager-500"
V8SP,Fixed-wing,1P/S,"BEACHNER, V-8 Special"
VALI,Fixed-wing,1P/S,"VULTEE, BT-13 Valiant"
VAMP,Fixed-wing,1J/S,"DE HAVILLAND, DH-100 Vampire"
VANT,Fixed-wing,1J/S,"VISIONAIRE, VA-10 Vantage"
VAUT,Fixed-wing,2J/L,"SUD, SO-4050 Vautour"
VELO,Fixed-wing,1P/S,"VELOCITY, Velocity"
VENT,Fixed-wing,1P/S,"SCHEMPP-HIRTH, Ventus 2CT"
VEZE,Fixed-wing,1P/S,"RUTAN, 33 VariEze"
VF14,Fixed-wing,2J/L,"VFW, VFW-614"
VF2,Fixed-wing,1P/S,"FRY, VF-2 Esprit"
VF35,Fixed-wing,1J/L,"LOCKHEED MARTIN, F-35B Lightning II"
VF60,Fixed-wing,1T/S,"VULCANAIR, VF-600 Mission"
VG3T,Fixed-wing,1P/S,"AVIAKIT, Vega 3000"
VGUL,Fixed-wing,1P/S,"PERCIVAL, K-1 Vega Gull"
VHFC,Fixed-wing,1P/S,Schiebel Camcopter S-100
VIMA,Fixed-wing,1P/S,"VALMET, Viima"
VIMY,Fixed-wing,2P/S,"VICKERS, FB-27 Vimy Replica"
VIPJ,Fixed-wing,1J/S,"VIPER, ViperJet"
VIPR,Fixed-wing,1P/S,"PAXMAN'S, Viper"
VISI,Fixed-wing,1P/S,"PRO-COMPOSITES, Vision"
VIVA,Fixed-wing,1P/S,"COMPOSIT AIRPLANES, Viva"
VIX,Fixed-wing,1P/S,"SKYSTAR, Kitfox Vixen"
VIXN,Fixed-wing,1P/S,"AMAX, Vixen"
VJ22,@Fixed-wing,1P/S,"VOLMER, VJ-22 Sportsman"
VK3P,Fixed-wing,1P/S,"CIRRUS, VK-30 Cirrus"
VL3,Fixed-wing,1P/S,"AVEKO, VL-3"
VM1,Fixed-wing,1P/S,"VOL MEDITERRANI, VM-1 Esqual"
VMT,Fixed-wing,4J/H,"MYASISHCHEV, VM-T Atlant"
VNOM,Fixed-wing,1J/S+,"DE HAVILLAND, DH-112 Venom"
VO10,Fixed-wing,1P/S,"NORTH AMERICAN ROCKWELL, Commander 100"
VOL2,Fixed-wing,1P/S,"VOLANTE, Volante Two"
VP2,Fixed-wing,1P/S,"EEVANS, VP-2 Volksplane"
VR20,Fixed-wing,1P/S,"EGVOYAGER, VR-202"
VSON,Fixed-wing,1P/S,"AMERICAN AFFORDABLE, Vision"
VTOR,Fixed-wing,2T/S,"VULCANAIR, AP-68TP-600 Viator"
VTRA,Fixed-wing,1P/S,"RANS, S-19 Venterra"
VTUR,Fixed-wing,1P/S,"QUESTAIR, M-20 Venture"
VULC,Fixed-wing,4J/L,"AVRO, 698 Vulcan"
VUT1,Fixed-wing,1P/S,"EVEKTOR, VUT-100 Cobra"
VVIG,Fixed-wing,1P/S,"RUTAN, 27 VariViggen"
VW10,Fixed-wing,1P/S,"AIRCONCEPT, VoWi-10 Airbuggy"
VWIT,Fixed-wing,1P/S,"AIRCRAFT SPRUCE, V-Witt"
W11,Fixed-wing,1P/S,"WOLF, W-11 Boredom Fighter"
W201,Fixed-wing,1P/S,"WEATHERLY, 201"
W3,Helicopter,2T/S+,"PZL-SWIDNIK, W-3 Anakonda"
W62T,Fixed-wing,1T/S,"WEATHERLY, 620TP"
WA40,Fixed-wing,1P/S,"WASSMER, WA-40 Super 4"
WA41,Fixed-wing,1P/S,"WASSMER, WA-41 Baladou"
WA42,Fixed-wing,1P/S,"WASSMER, WA-421 Prestige"
WA50,Fixed-wing,1P/S,"WASSMER, WA-51 Pacific"
WA80,Fixed-wing,1P/S,"WASSMER, WA-80 Piranha"
WAC9,Fixed-wing,1P/S,"WACO, 9"
WACA,Fixed-wing,1P/S,"WACO, A"
WACC,Fixed-wing,1P/S,"WACO, C"
WACD,Fixed-wing,1P/S,"WACO, D"
WACE,Fixed-wing,1P/S,"WACO, E (ARE/HRE/SRE) Aristocrat"
WACF,Fixed-wing,1P/S,"WACO, F"
WACG,Fixed-wing,1P/S,"WACO, G"
WACM,Fixed-wing,1P/S,"WACO, JWM / JYM"
WACN,Fixed-wing,1P/S,"WACO, N"
WACO,Fixed-wing,1P/S,"WACO, 10"
WACT,Fixed-wing,1P/S,"WACO, RPT"
WAIX,Fixed-wing,1P/S,"SONEX, Waiex"
WASP,Helicopter,1T/S,"WESTLAND, Wasp"
WB57,Fixed-wing,2J/L,"MARTIN, WB-57"
WBOO,Fixed-wing,1P/S,"DEAN-WILSON, DW-200 Whitney Boomerang"
WCAT,Fixed-wing,1P/S,"GRUMMAN, F4F Wildcat"
WDEX,Fixed-wing,1P/S,"RADAB, Windex"
WESX,Helicopter,2T/S+,"WESTLAND, WS-58 Wessex"
WF4U,Fixed-wing,1P/S,"WAR, Vought F4U Corsair"
WFOC,Fixed-wing,1P/S,"WAR, Focke-Wulf 190"
WFUR,Fixed-wing,1P/S,"WAR, Hawker Sea Fury"
WG30,Helicopter,2T/S+,"WESTLAND, WG-30"
WH1,Fixed-wing,1P/S,"WENDT, WH-1 Traveler"
WHAT,Fixed-wing,1P/S,"WHATLEY, Special"
WHIL,Fixed-wing,1P/S,"REFLEX, WLAC-1 White Lightning"
WHIS,Fixed-wing,1P/S,"GROVE, GR-2 Whisper"
WHIT,Fixed-wing,1P/S,"MILES, M-11 Whitney Straight"
WHK2,Fixed-wing,4J/L,"SCALED, 348 White Knight Two"
WHKN,Fixed-wing,2J/S+,"SCALED, 318 White Knight"
WICH,Fixed-wing,1P/S,"JAVELIN, Wichawk"
WILT,Fixed-wing,1P/S,"AIR-LIGHT, WT-01 Wild Thing"
WIND,Fixed-wing,1P/S,"WATSON, GW-1 Windwagon"
WINE,Fixed-wing,1P/S,"WINDECKER, Eagle"
WIRR,Fixed-wing,1P/S,"COMMONWEALTH (1), CA-16 Wirraway"
WISP,Fixed-wing,1P/S,"WHISPER, Whisper"
WM2,Fixed-wing,1P/S,"MILLER (1), WM-2"
WOPU,Fixed-wing,1P/S,"AEROSPORT, Woody Pusher"
WP40,Fixed-wing,1P/S,"WAR, Curtiss P-40 Kittyhawk"
WP47,Fixed-wing,1P/S,WAR Republic P-47 Thunderbolt
WS22,Fixed-wing,1P/S,"SPRING, WS-202 Sprint"
WSP,Fixed-wing,1P/S,"AAK, Wasp"
WT9,Fixed-wing,1P/S,"AEROSPOOL, WT-9 Dynamic"
WUSH,@Fixed-wing,1P/S,WÃÅST Shark
WW1,Fixed-wing,1P/S,WHITE WW-1 Der JÃÂ¤ger D-9
WW23,Fixed-wing,2J/S+,"IAI, 1123 Westwind"
WW24,Fixed-wing,2J/S+,"IAI, 1124 Westwind 2"
WZ10,Helicopter,2T/S+,"CHANGHE, WZ-10"
WZER,Fixed-wing,1P/S,"WAR, Mitsubishi Zero"
X2,Helicopter,1T/S,"SIKORSKY, X-2"
X29,Fixed-wing,1J/S+,"GRUMMAN, X-29"
X3,Helicopter,2T/S,"EUROCOPTER, X-3"
X32,Fixed-wing,1J/L,"BOEING, X-32"
X4,Fixed-wing,1P/S,"ROBIN, X-4"
X47B,Fixed-wing,1J/,"NORTHROP GRUMMAN, X-47B"
X49,Helicopter,2T/S+,"SIKORSKY, X-49 SpeedHawk"
X55,Fixed-wing,2J/S+,"LOCKHEED MARTIN, X-55"
XA41,Fixed-wing,1P/S,"XTREMEAIR, XA-41"
XA42,Fixed-wing,1P/S,"XTREMEAIR, XA-42"
XA85,Fixed-wing,1P/S,"RAJ HAMSA, XA-85 X-Air LS"
XAIR,Fixed-wing,1P/S,"RAJ HAMSA, X-AIR Falcon"
XL2,Fixed-wing,1P/S,"LIBERTY (2), XL-2"
XNON,Gyrocopter,1P/S,"ABS AEROLIGHT, Xenon"
XNOS,Fixed-wing,1P/S,"SONEX, Xenos"
XV15,Tiltrotor,2T/S+,"BELL, XV-15"
Y11,Fixed-wing,2P/S,"HARBIN, Y-11"
Y112,Fixed-wing,1P/S,"YAKOVLEV, Yak-112"
Y12,Fixed-wing,2T/S,"HARBIN, Y-12E Harbinger"
Y12F,Fixed-wing,2T/S+,"HARBIN, Y-12F Aircar"
Y130,Fixed-wing,2J/S+,"YAKOVLEV, Yak-130"
Y141,Fixed-wing,3J/L,"YAKOVLEV, Yak-141"
Y18T,Fixed-wing,1P/S,"YAKOVLEV, Yak-18T"
